time_s,cpu_cores_sum,mem_sum,n_machines,sample_note
20700,48.226275533333336,86.12818229999999,5.166666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
21000,43.83363993333333,86.05613396666666,5.566666666666666,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
21300,34.23321017241379,78.94564862068965,5.103448275862069,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
21600,43.668399433333335,81.95670633333334,5.166666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
21900,43.26419310000001,85.41392859999999,5.666666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
22200,58.7396573,86.92587423333333,6.033333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
22500,73.45556880000001,87.06825873333334,5.566666666666666,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
22800,69.1142352,88.67257573333333,5.833333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
23100,55.858537733333335,85.34364023333333,6.2,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
23400,55.30272720000001,87.99554716666667,5.633333333333334,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
23700,55.27309163333334,87.7450397,6.266666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
24000,53.335692566666665,87.05017196666667,6.233333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
24300,49.1089155862069,88.59770113793104,6.379310344827586,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
24600,53.55702743333334,86.9988108,6.6,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
24900,41.304175099999995,83.4583585,6.533333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
25200,44.9576455,83.95183863333334,5.466666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
25500,46.10004323333333,81.81836573333334,5.9,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
25800,42.56802913333333,80.7596032,5.366666666666666,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
26100,40.74008296666667,86.3190536,6.0,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
26400,33.9609307,80.03202023333333,5.8,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
26700,44.894874933333334,86.84488093333333,6.8,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
27000,37.067109200000004,81.95735456666667,6.033333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
27300,38.58172076666666,82.3911449,6.233333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
